brand_Ford,brand_Volkswagen,car_age,brand_Toyota,usage_intensity,owner,brand_Other,brand_Honda,mileage_power_interaction,engine,mileage,transmission_Manual,km_per_year,brand_Nissan,km_driven,max_power,seller_type_Trustmark Dealer,brand_Hyundai,brand_Renault,fuel_Diesel,brand_Maruti,fuel_Petrol,age_km_interaction,brand_Tata,fuel_LPG,specific_power,seller_type_Individual,selling_price
0,0,-0.6250723853001153,0,1,1,0,0,0.4247744626634794,-0.10678113970252108,0.17575245310482154,1.0,-0.24513341144630463,0,-0.5431812409560266,0.33314636088583205,0.0,0,0,0.0,1,1.0,-0.6680908104123272,0,0.0,0.729275604584179,1.0,575000
0,0,-0.8877105863878042,0,1,1,0,0,-1.164746594250099,-2.0367974853031674,1.2228147653174186,1.0,-0.7226411081630277,0,-0.977109831617771,-1.927902187188655,0.0,0,0,0.0,1,1.0,-0.9508605320678988,0,0.0,-0.5991023047923469,1.0,275000
0,0,1.2133950223137069,0,2,1,0,0,-0.9094195310450736,-0.761350274370072,-0.6174765712986608,1.0,0.5507127497482339,0,1.3712096001987282,-0.6836939079409621,0.0,0,0,0.0,1,1.0,1.698738627754473,0,0.0,-0.10423856027642116,1.0,220000
0,0,-0.8877105863878042,0,2,1,0,0,1.3946212449427182,0.13868228579781053,1.0958981214128618,1.0,0.9486358303455031,0,0.0949490394288917,0.6741983765171796,0.0,0,0,1.0,1,0.0,-0.4259399438012025,0,0.0,0.9271623193427204,1.0,670000
0,0,2.7892242288398403,0,1,2,1,0,-0.05115945640697511,0.13868228579781053,-0.4271016054418246,1.0,-1.1133292236585286,0,-0.4155551848790429,0.2529359794317932,0.0,0,0,0.0,0,1.0,0.4176824301988451,0,0.0,0.2173067450222447,1.0,70000
0,0,0.42548041905064027,0,1,2,0,0,-2.932181028810776,-2.0367974853031674,-2.172205459129486,1.0,-0.9797606371643401,0,-0.7984333531099939,-2.7047428894600567,0.0,0,0,0.0,1,1.0,-0.5899776276345451,0,0.0,-2.6514493111978834,1.0,150000
0,0,-1.1503487874754932,0,1,1,0,0,-0.24305732582079778,-0.10678113970252108,-0.7126640542270778,1.0,-1.72822684052495,0,-1.6308615412665122,0.2529359794317932,0.0,1,0,0.0,0,1.0,-1.2746927916460948,0,0.0,0.5883570048520929,1.0,730000
0,0,-0.8877105863878042,0,1,1,0,0,1.3946212449427182,0.13868228579781053,1.0958981214128618,1.0,-1.1921903432678056,0,-1.2783073239594525,0.6741983765171796,0.0,0,0,1.0,1,0.0,-1.0983382211523516,0,0.0,0.9271623193427204,1.0,650000
0,0,-1.412986988563182,0,1,1,0,0,-0.02155933968068608,-1.0645697999881287,0.9848460579963738,1.0,-1.0409795726408433,0,-1.3089375774179286,-0.6773781298737153,0.0,0,0,0.0,1,1.0,-1.160203861912355,0,0.0,0.4385238410891687,1.0,366000
0,0,-0.6250723853001153,0,1,1,1,0,-0.6073993259619579,-0.10196813135937732,-0.0685620864114509,1.0,-0.35124623293890966,0,-0.6197568746022167,-0.6836939079409621,0.0,0,0,0.0,0,1.0,-0.7102719291123296,0,0.0,-1.0633783686353577,1.0,150000
0,0,-1.1503487874754932,0,1,1,0,1,1.2314818692179843,1.337121363240606,-0.9664973420361924,1.0,-0.5225426447769724,0,-0.9541371415239139,2.4931424598843646,0.0,0,0,0.0,0,1.0,-0.9847616533934562,0,0.0,1.9157642739709313,0.0,925000
0,0,0.16284221796295137,0,2,1,0,1,0.8820649983557134,1.337121363240606,-1.2837889517975853,1.0,0.45255838986757424,0,0.5110099822398584,2.429984679211893,0.0,0,0,0.0,0,1.0,0.31707265078106167,0,0.0,1.8270411248489027,0.0,425000
0,0,-1.1503487874754932,0,1,1,0,0,-0.2012315270804463,-0.10678113970252108,-0.7443932152032176,0.0,-0.7772134163592247,0,-1.0970783243301356,0.3356726721127313,0.0,0,0,0.0,1,1.0,-1.0460023886912375,0,0.0,0.7337139856780988,0.0,675000
0,0,-1.1503487874754932,0,1,1,0,0,1.3946212449427182,0.13868228579781053,1.0958981214128618,1.0,-0.35427802783869855,0,-0.859693860026946,0.6741983765171796,0.0,0,0,1.0,1,0.0,-0.9442990247145651,0,0.0,0.9271623193427204,0.0,819999
0,0,-1.1503487874754932,0,1,1,0,0,-0.024679598464112527,-1.0645697999881287,0.9848460579963738,1.0,-1.368413421818025,0,-1.4289060701302931,-0.6805360189073387,0.0,0,0,0.0,1,1.0,-1.1881683813468011,0,0.0,0.43186960490501625,0.0,390000
0,0,-0.3624341842124264,0,1,1,0,1,2.138821855709638,1.3419343715837497,1.2228147653174186,1.0,-0.25150018073586095,0,-0.42066022712212225,1.3139866947293177,0.0,0,0,1.0,0,0.0,-0.5228002904456523,0,0.0,0.25346144822188854,0.0,425000
0,0,-0.3624341842124264,0,2,1,0,1,2.470882531368227,1.3419343715837497,1.6352938580072296,1.0,-0.09551433314173138,0,-0.29558669216667827,1.3120919613091435,0.0,0,0,1.0,0,0.0,-0.44624937132342585,0,0.0,0.25080153058031773,0.0,600000
0,0,-1.1503487874754932,0,2,1,0,0,1.3465796822542535,1.1686660712305745,-0.06221625421622317,1.0,1.073697369961788,0,-0.058202227863488686,1.6057756414361373,0.0,0,0,0.0,1,1.0,-0.6009134732234346,0,0.0,0.8885085979854624,0.0,850000
0,0,-0.3624341842124264,0,2,1,0,1,2.80487398928863,1.3419343715837497,2.047772950697041,1.0,0.1687065923748554,0,-0.08372743907888541,1.3120919613091435,0.0,0,0,1.0,0,0.0,-0.31658148791230745,0,0.0,0.25080153058031773,0.0,525000
0,0,0.6881186201383291,0,2,1,0,0,0.6778241929443172,0.13868228579781053,0.08691080237163229,1.0,0.8917896759744645,0,1.3712096001987282,0.693145710718921,0.0,0,0,1.0,0,0.0,1.3237953504211184,1,0.0,0.9590898564186019,1.0,265000
0,0,0.6881186201383291,0,2,3,0,0,-0.023229557534695498,-0.10678113970252108,-0.15423082104702684,1.0,0.6644050584903107,0,1.115957488044761,0.06788368206145157,0.0,1,0,0.0,0,1.0,1.1050784386433283,0,0.0,0.263245589722156,1.0,190000
0,0,0.16284221796295137,0,1,1,0,0,0.7103144900819446,0.8510075205830866,0.1345045438358408,1.0,-0.24513341144630463,0,-0.1603030727250756,0.6906193994920226,0.0,1,0,1.0,0,0.0,-0.1759777589122995,0,0.0,-0.046636709763154593,1.0,425000
0,0,-0.3624341842124264,0,2,2,0,0,0.9180749995139283,0.13868228579781053,1.8224959077664513,1.0,2.842749693988505,0,2.06039030301444,-0.24158944323366016,0.0,0,0,1.0,1,0.0,0.9957199827544333,0,0.0,-0.6160019726583185,1.0,630000
1,0,-0.8877105863878042,0,1,3,0,0,-0.10170113458829831,-0.11159414804566484,-0.8522723625220912,1.0,-0.8420180323422085,0,-1.0536854652639611,0.5668301493739776,0.0,0,0,0.0,0,1.0,-0.9883548598012342,0,0.0,1.1478787713020946,1.0,600000
0,0,-1.412986988563182,0,1,1,0,0,0.4247744626634794,-0.10678113970252108,0.17575245310482154,1.0,-0.24513341144630463,0,-0.9260594091869776,0.33314636088583205,0.0,0,0,0.0,1,1.0,-1.0196001329123472,0,0.0,0.729275604584179,1.0,650000
0,1,-0.6250723853001153,0,1,1,0,0,2.010439166341593,1.3419343715837497,0.3661274189616578,1.0,-0.4219881139339799,0,-0.6708072970330102,1.9370382010632516,0.0,0,0,1.0,0,0.0,-0.7383926749123312,0,0.0,1.1281310326911294,1.0,540000
0,0,-0.3624341842124264,0,2,1,0,1,2.239657675884873,1.3419343715837497,1.3497314092219763,1.0,2.4607435366151265,0,1.7540877684296792,1.3120919613091435,0.0,0,0,1.0,0,0.0,0.808248344087756,0,0.0,0.25080153058031773,1.0,630000
0,0,-1.1503487874754932,0,1,1,0,0,-0.628348704349226,-1.0645697999881287,-0.10663707958281723,0.0,-0.47251802893045863,0,-0.9260594091869776,-0.6836939079409621,0.0,0,0,0.0,1,1.0,-0.9727322232456778,0,0.0,0.4252153687208657,1.0,448000
0,1,-0.8877105863878042,0,2,1,0,0,1.9213761672396592,1.3419343715837497,0.25824827164278424,1.0,1.3465589109427725,0,0.350201151582859,1.9449329236473107,0.0,0,0,1.0,0,0.0,-0.300958851356751,0,0.0,1.139214022864335,1.0,500000
