age_km_interaction,seller_type_Trustmark Dealer,brand_Toyota,brand_Ford,fuel_Diesel,mileage_power_interaction,fuel_LPG,usage_intensity,specific_power,transmission_Manual,brand_Nissan,mileage,engine,brand_Maruti,owner,brand_Renault,brand_Honda,brand_Other,max_power,fuel_Petrol,brand_Hyundai,brand_Volkswagen,km_per_year,seller_type_Individual,car_age,km_driven,brand_Tata,selling_price
1470000,0.0,0,0,1.0,1967.66,0.0,2,0.0592948717948717,1.0,0,26.59,1248.0,1,2,0,0,0,74.0,0.0,0,0,14700.0,1.0,10,147000,0,630000
200000,0.0,0,1,0.0,1576.288,0.0,1,0.0725752508361204,1.0,0,18.16,1196.0,0,3,0,0,0,86.8,1.0,0,0,3125.0,1.0,8,25000,0,600000
180000,0.0,0,0,0.0,1778.3399999999997,0.0,1,0.0694235588972431,1.0,0,21.4,1197.0,1,1,0,0,0,83.1,1.0,0,0,5000.0,1.0,6,30000,0,650000
360000,0.0,0,0,1.0,2386.8900000000003,0.0,1,0.0724265687583444,1.0,0,22.0,1498.0,0,1,0,0,0,108.495,0.0,0,1,4444.444444444444,1.0,9,40000,0,540000
1350000,0.0,0,0,1.0,2474.86,0.0,2,0.0658210947930574,1.0,0,25.1,1498.0,0,1,0,1,0,98.6,0.0,0,0,13500.0,1.0,10,135000,0,630000
210000,0.0,0,0,0.0,1374.17,0.0,1,0.0671342685370741,0.0,0,20.51,998.0,1,1,0,0,0,67.0,1.0,0,0,4285.714285714285,1.0,7,30000,0,448000
640000,0.0,0,0,1.0,2352.7092,0.0,2,0.0725100133511348,1.0,0,21.66,1498.0,0,1,0,0,0,108.62,0.0,0,1,10000.0,1.0,8,80000,0,500000
630000,0.0,0,0,1.0,2150.55,0.0,2,0.0709134615384615,1.0,0,24.3,1248.0,1,1,0,0,0,88.5,0.0,0,0,7777.777777777777,1.0,9,70000,0,745000
59100,0.0,0,0,1.0,2150.55,0.0,1,0.0709134615384615,0.0,0,24.3,1248.0,1,1,0,0,0,88.5,0.0,0,0,1641.6666666666667,1.0,6,9850,0,1025000
840000,0.0,0,0,0.0,1606.404,0.0,1,0.0659147869674185,1.0,0,20.36,1197.0,0,2,0,0,0,78.9,1.0,1,0,4285.714285714285,1.0,14,60000,0,235000
630000,0.0,0,0,1.0,1864.8,0.0,2,0.0592948717948717,1.0,0,25.2,1248.0,1,1,0,0,0,74.0,0.0,0,0,7777.777777777777,1.0,9,70000,0,630000
1440000,0.0,0,0,1.0,1694.6,0.0,2,0.0592948717948717,1.0,0,22.9,1248.0,1,2,0,0,0,74.0,0.0,0,0,10000.0,1.0,12,120000,0,450000
1540000,0.0,0,0,1.0,1595.685,0.0,1,0.0655689102564102,1.0,0,19.5,1248.0,0,1,0,0,0,81.83,0.0,0,0,3181.818181818182,1.0,22,70000,1,50000
2040000,0.0,0,0,1.0,2127.944,0.0,2,0.0648310387984981,1.0,0,20.54,1598.0,0,1,0,0,0,103.6,0.0,0,1,14166.666666666666,1.0,12,170000,0,450000
900000,0.0,0,1,1.0,2244.8943,0.0,2,0.0658144192256341,1.0,0,22.77,1498.0,0,1,0,0,0,98.59,0.0,0,0,9000.0,1.0,10,90000,0,610000
80000,0.0,0,0,0.0,1548.6240000000005,0.0,1,0.0671743486973947,1.0,0,23.1,998.0,1,1,0,0,0,67.04,1.0,0,0,1250.0,0.0,8,10000,0,484999
441000,0.0,0,0,0.0,1275.291,0.0,2,0.0559682804674457,1.0,0,19.02,1198.0,0,1,0,0,1,67.05,1.0,0,0,5444.444444444444,0.0,9,49000,0,275000
288000,0.0,0,0,0.0,1168.31,0.0,1,0.0594221105527638,1.0,0,24.7,796.0,1,1,0,0,0,47.3,1.0,0,0,3555.555555555556,0.0,9,32000,0,315000
342000,0.0,0,0,0.0,1168.31,0.0,1,0.0594221105527638,1.0,0,24.7,796.0,1,1,0,0,0,47.3,1.0,0,0,4222.222222222223,0.0,9,38000,0,275000
780000,0.0,0,0,1.0,1595.685,0.0,2,0.0655689102564102,1.0,0,19.5,1248.0,1,1,0,0,0,81.83,0.0,0,0,7800.0,0.0,10,78000,0,475000
364000,0.0,0,0,0.0,1348.0704999999998,0.0,1,0.0626611418047882,1.0,0,19.81,1086.0,0,1,0,0,0,68.05,1.0,1,0,2153.846153846154,0.0,13,28000,0,290000
256000,0.0,0,0,0.0,490.0,0.0,1,0.0439698492462311,1.0,0,14.0,796.0,1,1,0,0,0,35.0,1.0,0,0,4000.0,0.0,8,32000,0,280000
420000,0.0,0,0,0.0,1218.78,0.0,1,0.0617696160267111,1.0,0,16.47,1198.0,0,1,0,0,0,74.0,1.0,0,1,4200.0,0.0,10,42000,0,455000
450000,0.0,0,0,0.0,1348.0704999999998,0.0,1,0.0626611418047882,1.0,0,19.81,1086.0,0,2,0,0,0,68.05,1.0,1,0,4500.0,0.0,10,45000,0,351000
156000,0.0,0,0,0.0,1558.1439999999998,0.0,1,0.0648310387984981,1.0,0,15.04,1598.0,0,2,0,0,0,103.6,1.0,0,1,923.0769230769232,0.0,13,12000,0,535000
888000,0.0,0,0,0.0,1221.2199999999998,0.0,1,0.0672344689378757,1.0,0,18.2,998.0,1,1,0,0,0,67.1,1.0,0,0,3468.75,0.0,16,55500,0,175000
738000,0.0,0,0,0.0,1532.725,0.0,2,0.0692147034252297,1.0,0,18.5,1197.0,0,1,0,0,0,82.85,1.0,1,0,5125.0,0.0,12,61500,0,525000
1350000,0.0,0,0,1.0,1967.66,0.0,3,0.0592948717948717,1.0,0,26.59,1248.0,1,1,0,0,0,74.0,0.0,0,0,16666.666666666668,1.0,9,150000,0,600000
648000,0.0,0,0,0.0,1566.2,0.0,2,0.0685045948203842,0.0,0,19.1,1197.0,0,1,0,0,0,82.0,1.0,1,0,8000.0,0.0,9,72000,0,565000
1156000,0.0,0,0,0.0,912.11,0.0,1,0.0581658291457286,1.0,0,19.7,796.0,1,3,0,0,0,46.3,1.0,0,0,4000.0,0.0,17,68000,0,120000
880000,0.0,0,0,1.0,1999.9742,0.0,2,0.0635601719197707,1.0,0,22.54,1396.0,0,1,0,0,0,88.73,0.0,1,0,13750.0,1.0,8,110000,0,725000
1232000,0.0,0,0,0.0,1461.0195,0.0,1,0.0671843687374749,1.0,0,21.79,998.0,1,2,0,0,0,67.05,1.0,0,0,4812.5,0.0,16,77000,0,185000
1500000,0.0,0,0,1.0,1692.0,0.0,2,0.0721153846153846,1.0,0,18.8,1248.0,0,2,0,0,0,90.0,0.0,0,0,6666.666666666667,1.0,15,100000,1,200000
60000,0.0,0,0,0.0,1734.978,0.0,1,0.0683375104427736,1.0,0,21.21,1197.0,1,1,0,0,0,81.8,1.0,0,0,1666.6666666666667,1.0,6,10000,0,615000
245000,0.0,0,0,0.0,1778.3399999999997,0.0,1,0.0694235588972431,1.0,0,21.4,1197.0,1,1,0,0,0,83.1,1.0,0,0,5000.0,1.0,7,35000,0,610000
25000,0.0,0,1,0.0,1798.92,0.0,1,0.0792964824120603,1.0,0,19.0,1194.0,0,2,0,0,0,94.68,1.0,0,0,1000.0,1.0,5,5000,0,400000
720000,0.0,0,0,0.0,1027.0,0.0,1,0.0554607508532423,1.0,0,15.8,1172.0,0,1,0,0,0,65.0,1.0,0,0,3200.0,1.0,15,48000,1,300000
900000,0.0,0,0,1.0,1317.4009,0.0,2,0.0491174377224199,1.0,0,19.09,1405.0,0,1,0,0,0,69.01,0.0,0,0,11111.111111111111,1.0,9,100000,1,375000
828000,0.0,0,0,1.0,1943.844,0.0,2,0.0635816618911174,1.0,0,21.9,1396.0,0,1,0,0,0,88.76,0.0,1,0,5750.0,1.0,12,69000,0,451999
65000,0.0,0,0,0.0,1450.0752,0.0,1,0.0671743486973947,1.0,0,21.63,998.0,1,1,0,0,0,67.04,1.0,0,0,2600.0,1.0,5,13000,0,475000
540000,0.0,0,0,1.0,2150.55,0.0,2,0.0709134615384615,1.0,0,24.3,1248.0,1,1,0,0,0,88.5,0.0,0,0,6666.666666666667,1.0,9,60000,0,780000
320000,0.0,0,0,0.0,1733.469,0.0,1,0.0694569757727652,1.0,0,20.85,1197.0,1,1,0,0,0,83.14,1.0,0,0,5000.0,1.0,8,40000,0,595000
